NAME,POPESTIMATE2019,State,Latitude,Longitude,date,truth,state
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-03-30,899,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-03-31,987,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-01,1060,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-02,1233,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-03,1495,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-04,1614,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-05,1765,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-06,1952,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-07,2169,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-08,2328,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-09,2703,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-10,2947,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-11,3217,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-12,3563,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-13,3734,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-14,3953,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-15,4075,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-16,4345,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-17,4571,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-18,4712,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-19,4888,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-20,5079,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-21,5317,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-22,5593,Alabama
Alaska,731545,AK,61.3025006,-158.7750198,2020-01-23,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-01-24,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-01-25,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-01-26,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-01-27,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-01-28,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-01-29,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-01-30,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-01-31,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-02-01,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-02-02,0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-02-03,0,Alaska
