State; FIPS; County; pop; landAreakm2; waterAreakm2; totalAreakm2; lat; long
NE;31137;Phelps;9,188;1,398.049;1.647;1,399.695;+40.516365°;–99.406557°
NE;31139;Pierce;7,266;1,484.707;3.482;1,488.189;+42.271413°;–97.610992°
NE;31141;Platte;32,237;1,745.806;27.272;1,773.078;+41.576866°;–97.513467°
NE;31143;Polk;5,406;1,135.308;5.949;1,141.257;+41.187925°;–97.570663°
NE;31145;Red Willow;11,055;1,856.984;2.643;1,859.627;+40.169420°;–100.468576°
NE;31147;Richardson;8,363;1,429.259;7.078;1,436.336;+40.123743°;–95.718603°
NE;31149;Rock;1,526;2,611.532;8.808;2,620.340;+42.413325°;–99.458530°
NE;31151;Saline;14,200;1,486.699;5.935;1,492.633;+40.516802°;–97.131755°
NE;31153;Sarpy;158,840;618.982;22.100;641.082;+41.115064°;–96.109125°
NE;31155;Saunders;20,780;1,943.097;24.828;1,967.924;+41.223152°;–96.640923°
NE;31157;Scotts Bluff;36,970;1,915.039;15.438;1,930.477;+41.851589°;–103.705860°
NE;31159;Seward;16,750;1,479.990;11.548;1,491.538;+40.871944°;–97.140383°
NE;31161;Sheridan;5,469;6,321.804;74.942;6,396.745;+42.507074°;–102.389698°
NE;31163;Sherman;3,152;1,465.489;15.062;1,480.551;+41.218743°;–98.972849°
NE;31165;Sioux;1,311;5,352.832;1.873;5,354.705;+42.483806°;–103.742605°
NE;31167;Stanton;6,129;1,108.382;7.909;1,116.290;+41.904793°;–97.174724°
NE;31169;Thayer;5,228;1,486.153;3.025;1,489.179;+40.173845°;–97.596263°
NE;31171;Thomas;647;1,847.273;2.028;1,849.301;+41.848620°;–100.506911°
NE;31173;Thurston;6,940;1,019.377;6.459;1,025.836;+42.154061°;–96.533943°
NE;31175;Valley;4,260;1,471.237;6.243;1,477.480;+41.564094°;–98.983484°
NE;31177;Washington;20,234;1,009.986;8.388;1,018.374;+41.533979°;–96.224574°
NE;31179;Wayne;9,595;1,147.144;1.088;1,148.232;+42.210746°;–97.126243°
NE;31181;Webster;3,812;1,489.018;0.337;1,489.355;+40.180646°;–98.498590°
NE;31183;Wheeler;818;1,489.715;1.059;1,490.775;+41.937859°;–98.522289°
NE;31185;York;13,665;1,482.793;8.596;1,491.389;+40.873056°;–97.596742°
NV;32001;Churchill;24,877;12,769.826;242.422;13,012.248;+39.525701°;–118.270419°
NV;32003;Clark;1,951,269;20,438.711;438.695;20,877.406;+36.214236°;–115.013819°
NV;32005;Douglas;46,997;1,838.164;72.318;1,910.482;+38.905129°;–119.609019°
NV;32007;Elko;48,818;44,469.663;85.759;44,555.422;+41.141133°;–115.351424°
NV;32009;Esmeralda;783;9,277.017;18.552;9,295.569;+37.778966°;–117.632382°
NV;32011;Eureka;1,987;10,814.971;11.083;10,826.054;+39.977788°;–116.272208°
NV;32013;Humboldt;16,528;24,969.444;44.197;25,013.641;+41.407914°;–118.127592°
NV;32015;Lander;5,775;14,219.306;76.103;14,295.409;+39.900211°;–117.047240°
NV;32017;Lincoln;5,345;27,539.866;9.803;27,549.669;+37.634605°;–114.863037°
NV;32019;Lyon;51,980;5,183.049;59.603;5,242.652;+39.022214°;–119.197417°
NV;32021;Mineral;4,772;9,719.821;155.747;9,875.568;+38.516647°;–118.416279°
NV;32023;Nye;43,946;47,090.966;43.209;47,134.175;+37.966379°;–116.459047°
NV;32027;Pershing;6,753;15,634.627;79.934;15,714.561;+40.439639°;–118.409477°
NV;32029;Storey;4,010;680.961;1.872;682.833;+39.438385°;–119.524646°
