State; FIPS; County; pop; landAreakm2; waterAreakm2; totalAreakm2; lat; long
AL;01001;Autauga;54,571;1,539.582;25.776;1,565.358;+32.536382°;–86.644490°
AL;01003;Baldwin;182,265;4,117.522;1,133.190;5,250.712;+30.659218°;–87.746067°
AL;01005;Barbour;27,457;2,291.819;50.865;2,342.684;+31.870670°;–85.405456°
AL;01007;Bibb;22,915;1,612.481;9.289;1,621.770;+33.015893°;–87.127148°
AL;01009;Blount;57,322;1,669.962;15.157;1,685.119;+33.977448°;–86.567246°
AL;01011;Bullock;10,914;1,613.057;6.057;1,619.113;+32.101759°;–85.717261°
AL;01013;Butler;20,947;2,011.977;2.727;2,014.704;+31.751667°;–86.681969°
AL;01015;Calhoun;118,572;1,569.190;16.624;1,585.814;+33.771706°;–85.822513°
AL;01017;Chambers;34,215;1,545.009;17.048;1,562.057;+32.917943°;–85.391812°
AL;01019;Cherokee;25,989;1,434.076;119.859;1,553.935;+34.069515°;–85.654242°
AL;01021;Chilton;43,643;1,794.484;20.586;1,815.070;+32.854060°;–86.726628°
AL;01023;Choctaw;13,859;2,365.955;19.059;2,385.014;+31.991008°;–88.248887°
AL;01025;Clarke;25,833;3,207.609;36.543;3,244.152;+31.685521°;–87.818624°
AL;01027;Clay;13,932;1,564.252;5.285;1,569.537;+33.267809°;–85.862051°
AL;01029;Cleburne;14,972;1,450.653;2.366;1,453.018;+33.671981°;–85.516109°
AL;01031;Coffee;49,948;1,758.529;3.945;1,762.474;+31.402183°;–85.989201°
AL;01033;Colbert;54,428;1,534.877;76.431;1,611.308;+34.703112°;–87.801457°
AL;01035;Conecuh;13,228;2,201.895;6.645;2,208.540;+31.428293°;–86.992029°
AL;01037;Coosa;11,539;1,685.891;39.947;1,725.838;+32.931445°;–86.243482°
AL;01039;Covington;37,765;2,668.870;34.526;2,703.396;+31.243987°;–86.448721°
AL;01041;Crenshaw;13,906;1,576.888;5.376;1,582.264;+31.732826°;–86.319222°
AL;01043;Cullman;80,406;1,903.228;52.267;1,955.495;+34.131923°;–86.869267°
AL;01045;Dale;50,251;1,453.371;4.016;1,457.388;+31.430654°;–85.609476°
AL;01047;Dallas;43,820;2,534.807;39.135;2,573.942;+32.333540°;–87.114356°
AL;01049;DeKalb;71,109;2,012.662;4.124;2,016.786;+34.460929°;–85.803992°
AL;01051;Elmore;79,303;1,601.868;99.863;1,701.730;+32.597229°;–86.142739°
AL;01053;Escambia;38,319;2,447.747;20.873;2,468.620;+31.121748°;–87.168429°
AL;01055;Etowah;104,430;1,385.619;35.323;1,420.942;+34.047638°;–86.034420°
AL;01057;Fayette;17,241;1,625.632;4.393;1,630.024;+33.732249°;–87.752049°
AL;01059;Franklin;31,704;1,641.588;32.898;1,674.486;+34.441988°;–87.842815°
AL;01061;Geneva;26,790;1,487.710;11.765;1,499.476;+31.090866°;–85.824346°
AL;01063;Greene;9,045;1,676.007;33.231;1,709.238;+32.844497°;–87.964201°
AL;01065;Hale;15,760;1,667.804;32.526;1,700.330;+32.752796°;–87.623061°
AL;01067;Henry;17,302;1,454.926;16.987;1,471.913;+31.516978°;–85.239971°
AL;01069;Houston;101,547;1,501.738;4.740;1,506.478;+31.158193°;–85.296398°
AL;01071;Jackson;53,227;2,791.665;126.657;2,918.322;+34.763522°;–85.977400°
AL;01073;Jefferson;658,466;2,878.192;32.474;2,910.667;+33.553444°;–86.896536°
AL;01075;Lamar;14,564;1,566.545;1.601;1,568.145;+33.787085°;–88.087431°
AL;01077;Lauderdale;92,709;1,729.328;138.027;1,867.355;+34.904122°;–87.650997°
AL;01079;Lawrence;34,339;1,788.847;68.688;1,857.535;+34.529776°;–87.321865°
AL;01081;Lee;140,247;1,573.511;21.530;1,595.041;+32.604064°;–85.353048°
AL;01083;Limestone;82,782;1,450.228;122.382;1,572.610;+34.810239°;–86.981400°
AL;01085;Lowndes;11,299;1,854.200;23.724;1,877.923;+32.147888°;–86.650586°
AL;01087;Macon;21,452;1,577.005;11.194;1,588.199;+32.387027°;–85.692887°
AL;01089;Madison;334,811;2,076.117;28.771;2,104.888;+34.764238°;–86.551080°
AL;01091;Marengo;21,027;2,530.112;14.995;2,545.107;+32.247591°;–87.791091°
AL;01093;Marion;30,776;1,922.527;3.313;1,925.840;+34.138219°;–87.881551°
AL;01095;Marshall;93,019;1,465.523;148.503;1,614.026;+34.309564°;–86.321668°
AL;01097;Mobile;412,992;3,184.223;1,073.751;4,257.974;+30.684573°;–88.196568°
AL;01099;Monroe;23,068;2,656.485;22.643;2,679.128;+31.580332°;–87.383266°
AL;01101;Montgomery;229,363;2,031.191;40.571;2,071.762;+32.203651°;–86.203831°
AL;01103;Morgan;119,490;1,500.476;51.065;1,551.541;+34.454484°;–86.846402°
AL;01105;Perry;10,591;1,863.920;10.919;1,874.839;+32.639005°;–87.293827°
AL;01107;Pickens;19,746;2,282.837;22.578;2,305.415;+33.296809°;–88.096878°
AL;01109;Pike;32,899;1,740.716;2.363;1,743.078;+31.798726°;–85.941997°
AL;01111;Randolph;22,913;1,503.617;9.285;1,512.902;+33.296475°;–85.464068°
AL;01113;Russell;52,947;1,660.546;15.673;1,676.219;+32.289811°;–85.186980°
AL;01115;St. Clair;83,593;1,636.619;56.300;1,692.919;+33.712963°;–86.315663°
AL;01117;Shelby;195,085;2,032.960;63.701;2,096.661;+33.262937°;–86.678104°
AL;01119;Sumter;13,763;2,341.057;24.436;2,365.494;+32.597481°;–88.200057°
AL;01121;Talladega;82,291;1,908.240;60.944;1,969.184;+33.369277°;–86.175805°
AL;01123;Tallapoosa;41,616;1,855.780;128.809;1,984.589;+32.863369°;–85.799553°
AL;01125;Tuscaloosa;194,656;3,423.329;76.396;3,499.725;+33.290202°;–87.522860°
AL;01127;Walker;67,023;2,049.177;36.264;2,085.441;+33.791571°;–87.301092°
AL;01129;Washington;17,581;2,797.722;21.651;2,819.373;+31.406974°;–88.202078°
AL;01131;Wilcox;11,670;2,301.200;48.985;2,350.185;+31.990330°;–87.302205°
AL;01133;Winston;24,484;1,587.608;48.923;1,636.531;+34.155888°;–87.364147°
AK;02013;Aleutians East;3,141;18,083.149;20,792.209;38,875.358;+55.243722°;–161.950749°
AK;02016;Aleutians West [4];5,561;11,370.763;25,190.644;36,561.406;+51.959447°;+178.338813°
AK;02020;Anchorage;291,826;4,415.109;663.861;5,078.970;+61.177549°;–149.274354°
AK;02050;Bethel [4];17,013;105,075.823;12,779.524;117,855.346;+60.928916°;–160.153350°
AK;02060;Bristol Bay;997;1,304.947;993.830;2,298.777;+58.731373°;–156.986612°
AK;02068;Denali;1,826;33,026.001;66.069;33,092.069;+63.682732°;–150.026719°
AK;02070;Dillingham [4];4,847;48,092.913;6,077.224;54,170.136;+59.824816°;–158.602233°
AK;02090;Fairbanks North Star;97,581;19,005.874;273.188;19,279.063;+64.690832°;–146.599867°
AK;02100;Haines;2,508;6,005.147;1,053.875;7,059.022;+59.099905°;–135.578102°
AK;02105;Hoonah-Angoon [4];2,150;19,489.439;8,778.085;28,267.524;+58.076434°;–135.185100°
AK;02110;Juneau;31,275;6,997.969;1,429.575;8,427.544;+58.372700°;–134.178781°
AK;02122;Kenai Peninsula;55,400;41,634.915;22,473.290;64,108.206;+60.366373°;–152.321973°
AK;02130;Ketchikan Gateway;13,477;12,583.233;4,649.414;17,232.647;+55.449938°;–131.106685°
AK;02150;Kodiak Island;13,592;16,963.332;14,173.062;31,136.394;+57.553611°;–153.630911°
AK;02164;Lake and Peninsula;1,631;61,258.419;24,010.457;85,268.877;+58.205065°;–156.705188°
AK;02170;Matanuska-Susitna;88,995;63,734.160;1,682.737;65,416.898;+62.182174°;–149.407974°
AK;02180;Nome [4];9,492;59,470.686;13,768.012;73,238.698;+64.783686°;–164.188912°
AK;02185;North Slope;9,430;229,720.054;15,801.179;245,521.234;+69.449343°;–153.472830°
AK;02188;Northwest Arctic;7,523;92,132.565;13,406.688;105,539.253;+67.005066°;–160.021086°
AK;02195;Petersburg [4];3,815;8,500.294;6,221.368;14,721.662;+56.639612°;–133.527996°
AK;02198;Prince of Wales-Hyder [4];5,559;10,160.194;9,739.418;19,899.612;+55.415683°;–132.875734°
AK;02220;Sitka;8,881;7,434.144;5,027.404;12,461.548;+57.142509°;–135.332624°
AK;02230;Skagway;968;1,171.516;30.331;1,201.847;+59.575097°;–135.335418°
AK;02240;Southeast Fairbanks [4];7,029;64,150.915;752.795;64,903.711;+63.864997°;–143.218628°
AK;02261;Valdez-Cordova [4];9,636;88,680.877;15,799.690;104,480.567;+61.349840°;–145.023141°
AK;02270;Wade Hampton [4];7,459;44,240.706;6,711.999;50,952.705;+62.283174°;–163.190950°
AK;02275;Wrangell;2,369;6,582.411;2,384.276;8,966.687;+56.279121°;–132.040326°
AK;02282;Yakutat;662;19,812.002;4,696.710;24,508.712;+59.999083°;–140.239593°
AK;02290;Yukon-Koyukuk [4];5,588;376,855.656;5,956.564;382,812.220;+65.376131°;–151.576855°
AZ;04001;Apache;71,518;29,001.444;54.176;29,055.620;+35.385845°;–109.493747°
AZ;04003;Cochise;131,346;15,969.064;137.025;16,106.089;+31.881793°;–109.754120°
AZ;04005;Coconino;134,421;48,222.689;109.964;48,332.653;+35.829692°;–111.773728°
AZ;04007;Gila;53,597;12,322.989;97.112;12,420.101;+33.789618°;–110.811870°
AZ;04009;Graham;37,220;11,972.471;47.834;12,020.305;+32.931828°;–109.878310°
AZ;04011;Greenlee;8,437;4,773.674;13.745;4,787.419;+33.238872°;–109.242323°
AZ;04012;La Paz;20,489;11,653.984;36.582;11,690.566;+33.727625°;–114.038793°
AZ;04013;Maricopa;3,817,117;23,828.260;62.796;23,891.056;+33.346541°;–112.495534°
AZ;04015;Mohave;200,186;34,475.547;387.371;34,862.918;+35.717705°;–113.749689°
AZ;04017;Navajo;107,449;25,771.473;24.078;25,795.551;+35.390934°;–110.320908°
AZ;04019;Pima;980,263;23,794.312;5.338;23,799.649;+32.128237°;–111.783018°
AZ;04021;Pinal;375,770;13,896.870;22.332;13,919.201;+32.918910°;–111.367257°
AZ;04023;Santa Cruz;47,420;3,203.599;3.088;3,206.687;+31.525904°;–110.845190°
AZ;04025;Yavapai;211,033;21,039.765;11.502;21,051.267;+34.630044°;–112.573745°
AZ;04027;Yuma;195,751;14,281.174;13.254;14,294.428;+32.773942°;–113.910905°
AR;05001;Arkansas;19,019;2,560.903;116.496;2,677.398;+34.289574°;–91.376547°
AR;05003;Ashley;21,853;2,396.642;39.311;2,435.953;+33.190835°;–91.772267°
AR;05005;Baxter;41,513;1,435.588;83.997;1,519.585;+36.280710°;–92.330438°
AR;05007;Benton;221,339;2,194.645;94.662;2,289.307;+36.337825°;–94.256187°
AR;05009;Boone;36,903;1,528.692;30.044;1,558.737;+36.304308°;–93.079204°
AR;05011;Bradley;11,508;1,681.500;9.547;1,691.047;+33.463819°;–92.168164°
AR;05013;Calhoun;5,368;1,628.017;9.926;1,637.943;+33.560460°;–92.513879°
AR;05015;Carroll;27,446;1,631.917;22.566;1,654.484;+36.337774°;–93.541663°
AR;05017;Chicot;11,800;1,668.740;120.392;1,789.132;+33.267139°;–91.297158°
AR;05019;Clark;22,995;2,243.122;43.396;2,286.518;+34.053312°;–93.176205°
AR;05021;Clay;16,083;1,656.206;5.106;1,661.312;+36.367302°;–90.418704°
AR;05023;Cleburne;25,970;1,434.056;99.015;1,533.071;+35.566288°;–92.059974°
AR;05025;Cleveland;8,689;1,548.252;2.500;1,550.752;+33.893201°;–92.188714°
AR;05027;Columbia;24,552;1,984.067;1.814;1,985.880;+33.215070°;–93.226901°
AR;05029;Conway;21,273;1,430.320;37.343;1,467.662;+35.265702°;–92.689248°
AR;05031;Craighead;96,443;1,831.656;14.162;1,845.818;+35.828268°;–90.630411°
AR;05033;Crawford;61,948;1,536.107;28.874;1,564.981;+35.583041°;–94.236224°
AR;05035;Crittenden;50,902;1,579.272;68.939;1,648.211;+35.211878°;–90.315331°
AR;05037;Cross;17,870;1,596.418;15.349;1,611.767;+35.291259°;–90.773894°
AR;05039;Dallas;8,116;1,728.523;1.864;1,730.387;+33.967823°;–92.653999°
AR;05041;Desha;13,008;1,989.504;133.058;2,122.563;+33.828748°;–91.244427°
AR;05043;Drew;18,509;2,145.431;18.921;2,164.352;+33.587242°;–91.722778°
AR;05045;Faulkner;113,237;1,678.013;41.927;1,719.940;+35.146356°;–92.324654°
AR;05047;Franklin;18,125;1,576.932;27.934;1,604.866;+35.508573°;–93.887672°
AR;05049;Fulton;12,245;1,601.114;5.527;1,606.642;+36.383443°;–91.819239°
AR;05051;Garland;96,024;1,755.445;147.214;1,902.659;+34.578861°;–93.146915°
AR;05053;Grant;17,853;1,636.377;2.904;1,639.281;+34.288063°;–92.423984°
AR;05055;Greene;42,090;1,496.233;4.827;1,501.060;+36.119922°;–90.565241°
AR;05057;Hempstead;22,609;1,884.268;35.372;1,919.640;+33.728611°;–93.665809°
AR;05059;Hot Spring;32,923;1,593.367;18.053;1,611.420;+34.315177°;–92.944147°
AR;05061;Howard;13,789;1,524.347;17.509;1,541.856;+34.083179°;–93.990988°
AR;05063;Independence;36,647;1,978.629;19.594;1,998.223;+35.737499°;–91.559942°
AR;05065;Izard;13,696;1,503.686;8.913;1,512.599;+36.094879°;–91.913625°
AR;05067;Jackson;17,997;1,641.893;19.588;1,661.481;+35.596605°;–91.223178°
AR;05069;Jefferson;77,435;2,255.221;111.448;2,366.668;+34.277696°;–91.930701°
AR;05071;Johnson;25,540;1,708.883;59.416;1,768.299;+35.573359°;–93.466322°
AR;05073;Lafayette;7,645;1,368.208;43.539;1,411.748;+33.240660°;–93.611643°
AR;05075;Lawrence;17,415;1,521.913;12.245;1,534.158;+36.041098°;–91.101153°
AR;05077;Lee;10,424;1,560.781;43.722;1,604.503;+34.779750°;–90.779288°
AR;05079;Lincoln;14,134;1,454.321;27.631;1,481.952;+33.957665°;–91.727624°
AR;05081;Little River;13,171;1,378.530;84.208;1,462.737;+33.699497°;–94.229774°
AR;05083;Logan;22,353;1,834.034;60.696;1,894.731;+35.218550°;–93.720563°
AR;05085;Lonoke;68,356;1,996.177;83.170;2,079.347;+34.755114°;–91.894132°
AR;05087;Madison;15,717;2,160.711;7.316;2,168.028;+36.012545°;–93.724053°
AR;05089;Marion;16,653;1,546.245;112.175;1,658.420;+36.266656°;–92.678588°
AR;05091;Miller;43,462;1,620.240;31.264;1,651.504;+33.305505°;–93.901509°
AR;05093;Mississippi;46,480;2,332.476;49.826;2,382.302;+35.766943°;–90.052209°
AR;05095;Monroe;8,149;1,572.439;36.715;1,609.154;+34.679513°;–91.203314°
AR;05097;Montgomery;9,487;2,019.880;52.860;2,072.740;+34.545652°;–93.664147°
AR;05099;Nevada;8,997;1,600.190;7.258;1,607.447;+33.666699°;–93.305072°
AR;05101;Newton;8,330;2,126.110;5.932;2,132.042;+35.910063°;–93.215084°
AR;05103;Ouachita;26,120;1,897.900;18.050;1,915.950;+33.591158°;–92.878418°
AR;05105;Perry;10,445;1,428.126;23.649;1,451.775;+34.946363°;–92.926877°
AR;05107;Phillips;21,757;1,801.758;82.056;1,883.814;+34.425842°;–90.848386°
AR;05109;Pike;11,291;1,555.592;34.996;1,590.588;+34.158191°;–93.658659°
AR;05111;Poinsett;24,583;1,964.218;13.523;1,977.740;+35.568981°;–90.680595°
AR;05113;Polk;20,662;2,221.378;12.387;2,233.765;+34.490915°;–94.230884°
AR;05115;Pope;61,754;2,104.491;47.207;2,151.697;+35.455297°;–93.031535°
AR;05117;Prairie;8,715;1,678.204;71.629;1,749.833;+34.828225°;–91.557200°
AR;05119;Pulaski;382,748;1,967.777;124.062;2,091.839;+34.773988°;–92.316515°
AR;05121;Randolph;17,969;1,689.166;9.968;1,699.134;+36.341299°;–91.028441°
AR;05123;St. Francis;28,258;1,644.049;20.050;1,664.099;+35.014438°;–90.742199°
AR;05125;Saline;107,118;1,874.125;17.836;1,891.960;+34.648525°;–92.674463°
AR;05127;Scott;11,233;2,311.098;14.901;2,325.999;+34.858869°;–94.063641°
AR;05129;Searcy;8,195;1,725.177;6.257;1,731.434;+35.909660°;–92.699351°
AR;05131;Sebastian;125,744;1,377.644;36.906;1,414.549;+35.196981°;–94.274989°
AR;05133;Sevier;17,058;1,463.670;41.831;1,505.501;+33.994608°;–94.243290°
AR;05135;Sharp;17,264;1,565.489;5.173;1,570.662;+36.173399°;–91.471069°
AR;05137;Stone;12,394;1,570.581;7.839;1,578.420;+35.856989°;–92.140494°
AR;05139;Union;41,639;2,691.553;41.402;2,732.954;+33.168219°;–92.598145°
AR;05141;Van Buren;17,295;1,834.082;41.806;1,875.888;+35.582959°;–92.515977°
AR;05143;Washington;203,065;2,439.682;27.047;2,466.729;+35.971209°;–94.218417°
AR;05145;White;77,076;2,680.833;18.311;2,699.144;+35.254722°;–91.753158°
AR;05147;Woodruff;7,260;1,519.781;18.708;1,538.489;+35.189071°;–91.244418°
AR;05149;Yell;22,185;2,408.647;48.880;2,457.528;+34.997713°;–93.408303°
CA;06001;Alameda;1,510,271;1,914.046;213.185;2,127.231;+37.648081°;–121.913304°
CA;06003;Alpine;1,175;1,912.272;12.557;1,924.829;+38.617610°;–119.798999°
CA;06005;Amador;38,091;1,539.963;29.457;1,569.420;+38.443550°;–120.653856°
CA;06007;Butte;220,000;4,238.423;105.326;4,343.749;+39.665959°;–121.601919°
CA;06009;Calaveras;45,578;2,641.820;43.810;2,685.630;+38.187844°;–120.555115°
CA;06011;Colusa;21,419;2,980.379;14.581;2,994.960;+39.177739°;–122.237563°
CA;06013;Contra Costa;1,049,025;1,854.269;227.485;2,081.754;+37.919479°;–121.951543°
CA;06015;Del Norte;28,610;2,606.494;578.526;3,185.020;+41.749903°;–123.980998°
CA;06017;El Dorado;181,058;4,423.397;203.243;4,626.640;+38.785532°;–120.534398°
CA;06019;Fresno;930,450;15,431.126;137.816;15,568.942;+36.761006°;–119.655019°
CA;06021;Glenn;28,122;3,403.107;33.750;3,436.857;+39.602546°;–122.401700°
CA;06023;Humboldt;134,623;9,241.045;1,254.256;10,495.301;+40.706673°;–123.925818°
CA;06025;Imperial;174,528;10,817.353;790.248;11,607.600;+33.040816°;–115.355395°
CA;06027;Inyo;18,546;26,368.354;119.208;26,487.562;+36.561977°;–117.403927°
CA;06029;Kern;839,631;21,061.565;79.577;21,141.142;+35.346629°;–118.729506°
CA;06031;Kings;152,982;3,598.582;5.469;3,604.051;+36.072478°;–119.815530°
CA;06033;Lake;64,665;3,254.228;188.962;3,443.190;+39.094802°;–122.746757°
CA;06035;Lassen;34,895;11,761.612;463.441;12,225.053;+40.721089°;–120.629931°
CA;06037;Los Angeles;9,818,605;10,509.870;1,795.013;12,304.883;+34.196398°;–118.261862°
CA;06039;Madera;150,865;5,534.983;41.958;5,576.940;+37.210039°;–119.749852°
CA;06041;Marin;252,409;1,347.586;797.420;2,145.006;+38.051817°;–122.745974°
CA;06043;Mariposa;18,251;3,752.417;36.271;3,788.688;+37.570034°;–119.912860°
CA;06045;Mendocino;87,841;9,081.386;962.953;10,044.339;+39.432388°;–123.442881°
CA;06047;Merced;255,793;5,011.555;112.760;5,124.315;+37.194806°;–120.722802°
CA;06049;Modoc;9,686;10,146.977;739.774;10,886.752;+41.592919°;–120.718370°
CA;06051;Mono;14,202;7,896.827;214.695;8,111.523;+37.915836°;–118.875167°
CA;06053;Monterey;415,057;8,496.703;1,270.714;9,767.417;+36.240107°;–121.315573°
CA;06055;Napa;136,484;1,938.247;104.169;2,042.417;+38.507351°;–122.325995°
CA;06057;Nevada;98,764;2,480.617;41.515;2,522.132;+39.295191°;–120.773446°
CA;06059;Orange;3,010,232;2,047.561;407.917;2,455.478;+33.675687°;–117.777207°
CA;06061;Placer;348,432;3,644.136;247.205;3,891.341;+39.062032°;–120.722718°
CA;06063;Plumas;20,007;6,612.351;156.395;6,768.746;+39.995170°;–120.829516°
CA;06065;Riverside;2,189,641;18,664.697;251.073;18,915.770;+33.729828°;–116.002239°
CA;06067;Sacramento;1,418,788;2,498.416;76.077;2,574.493;+38.450011°;–121.340441°
CA;06069;San Benito;55,269;3,596.742;4.555;3,601.297;+36.610702°;–121.085296°
CA;06071;San Bernardino;2,035,210;51,947.230;124.028;52,071.258;+34.857220°;–116.181197°
CA;06073;San Diego;3,095,313;10,895.121;826.348;11,721.469;+33.023604°;–116.776117°
CA;06075;San Francisco;805,235;121.400;479.190;600.590;+37.727239°;–123.032229°
CA;06077;San Joaquin;685,306;3,603.506;91.109;3,694.615;+37.935034°;–121.272237°
CA;06079;San Luis Obispo;269,637;8,543.248;820.975;9,364.223;+35.385227°;–120.447540°
CA;06081;San Mateo;718,451;1,161.372;757.704;1,919.076;+37.414664°;–122.371542°
CA;06083;Santa Barbara;423,895;7,083.838;2,729.829;9,813.667;+34.537378°;–120.038485°
CA;06085;Santa Clara;1,781,642;3,341.343;36.175;3,377.518;+37.220777°;–121.690622°
CA;06087;Santa Cruz;262,382;1,152.986;419.569;1,572.555;+37.012488°;–122.007205°
CA;06089;Shasta;177,223;9,778.247;186.531;9,964.778;+40.760522°;–122.043550°
CA;06091;Sierra;3,240;2,468.814;23.299;2,492.113;+39.576925°;–120.521993°
CA;06093;Siskiyou;44,900;16,259.652;179.889;16,439.542;+41.587986°;–122.533287°
CA;06095;Solano;413,344;2,128.361;218.666;2,347.027;+38.267226°;–121.939594°
CA;06097;Sonoma;483,878;4,081.430;497.530;4,578.960;+38.532574°;–122.945194°
CA;06099;Stanislaus;514,453;3,871.583;51.437;3,923.020;+37.562384°;–121.002656°
CA;06101;Sutter;94,737;1,560.236;15.747;1,575.983;+39.035257°;–121.702758°
CA;06103;Tehama;63,463;7,639.710;32.276;7,671.986;+40.126156°;–122.232276°
CA;06105;Trinity;13,786;8,234.230;73.408;8,307.638;+40.647724°;–123.114404°
CA;06107;Tulare;442,179;12,494.658;37.392;12,532.050;+36.230453°;–118.780542°
CA;06109;Tuolumne;55,365;5,752.063;138.684;5,890.746;+38.021451°;–119.964708°
CA;06111;Ventura;823,318;4,773.692;945.992;5,719.684;+34.358742°;–119.133143°
CA;06113;Yolo;200,849;2,628.032;22.969;2,651.002;+38.679268°;–121.903178°
CA;06115;Yuba;72,155;1,636.454;30.999;1,667.453;+39.270026°;–121.344280°
CO;08001;Adams;441,603;3,024.208;42.070;3,066.278;+39.874325°;–104.331872°
CO;08003;Alamosa;15,445;1,871.637;1.808;1,873.445;+37.568442°;–105.788041°
CO;08005;Arapahoe;572,003;2,067.070;19.004;2,086.074;+39.644632°;–104.331733°
CO;08007;Archuleta;12,084;3,496.938;13.828;3,510.765;+37.202395°;–107.050863°
CO;08009;Baca;3,788;6,617.334;6.142;6,623.476;+37.303144°;–102.535457°
CO;08011;Bent;6,499;3,918.292;73.094;3,991.386;+37.931891°;–103.077584°
CO;08013;Boulder;294,567;1,881.080;36.469;1,917.549;+40.094826°;–105.398382°
CO;08014;Broomfield;55,889;85.558;1.466;87.024;+39.953383°;–105.052125°
CO;08015;Chaffee;17,809;2,624.702;4.013;2,628.716;+38.738246°;–106.316972°
CO;08017;Cheyenne;1,836;4,605.713;8.166;4,613.879;+38.835387°;–102.604585°
CO;08019;Clear Creek;9,088;1,023.633;3.280;1,026.913;+39.689403°;–105.670791°
CO;08021;Conejos;8,256;3,334.326;9.235;3,343.561;+37.213407°;–106.176447°
CO;08023;Costilla;3,524;3,177.790;8.829;3,186.619;+37.277547°;–105.428940°
CO;08025;Crowley;5,823;2,039.411;33.430;2,072.842;+38.321956°;–103.787562°
CO;08027;Custer;4,255;1,913.031;3.365;1,916.396;+38.101994°;–105.373515°
CO;08029;Delta;30,952;2,957.897;16.961;2,974.858;+38.861756°;–107.864757°
CO;08031;Denver;600,158;396.269;4.225;400.494;+39.761849°;–104.880625°
CO;08033;Dolores;2,064;2,763.650;2.716;2,766.366;+37.747602°;–108.530383°
CO;08035;Douglas;285,465;2,176.232;6.789;2,183.022;+39.326435°;–104.926199°
CO;08037;Eagle;52,197;4,362.912;18.806;4,381.718;+39.630638°;–106.692944°
CO;08039;Elbert;23,086;4,793.671;0.442;4,794.113;+39.310817°;–104.117928°
CO;08041;El Paso;622,263;5,508.390;7.112;5,515.501;+38.827383°;–104.527472°
CO;08043;Fremont;46,824;3,970.627;2.235;3,972.863;+38.455658°;–105.421438°
CO;08045;Garfield;56,389;7,634.154;21.431;7,655.584;+39.599352°;–107.909780°
CO;08047;Gilpin;5,441;388.229;0.942;389.171;+39.861082°;–105.528947°
CO;08049;Grand;14,843;4,781.972;60.250;4,842.222;+40.123289°;–106.095876°
CO;08051;Gunnison;15,324;8,389.229;53.172;8,442.401;+38.669679°;–107.078108°
CO;08053;Hinsdale;843;2,893.668;15.325;2,908.992;+37.811625°;–107.383405°
CO;08055;Huerfano;6,711;4,120.673;5.792;4,126.465;+37.687815°;–104.959928°
CO;08057;Jackson;1,394;4,179.523;18.750;4,198.273;+40.663432°;–106.329248°
CO;08059;Jefferson;534,543;1,979.290;25.446;2,004.736;+39.586460°;–105.245601°
CO;08061;Kiowa;1,398;4,578.496;47.033;4,625.529;+38.388466°;–102.756210°
CO;08063;Kit Carson;8,270;5,596.502;2.252;5,598.754;+39.305340°;–102.603023°
CO;08065;Lake;7,310;976.194;18.124;994.319;+39.204316°;–106.349696°
CO;08067;La Plata;51,334;4,382.463;19.760;4,402.223;+37.287367°;–107.839718°
CO;08069;Larimer;299,630;6,723.613;98.295;6,821.909;+40.663091°;–105.482131°
CO;08071;Las Animas;15,507;12,361.162;6.930;12,368.092;+37.318831°;–104.044110°
CO;08073;Lincoln;5,467;6,676.021;22.781;6,698.802;+38.993740°;–103.507555°
CO;08075;Logan;22,709;4,761.813;16.364;4,778.177;+40.728091°;–103.090464°
CO;08077;Mesa;146,723;8,622.003;31.467;8,653.470;+39.019492°;–108.461837°
CO;08079;Mineral;712;2,267.966;5.222;2,273.188;+37.651478°;–106.932300°
CO;08081;Moffat;13,795;12,285.065;19.742;12,304.807;+40.573984°;–108.204521°
CO;08083;Montezuma;25,535;5,256.451;27.517;5,283.968;+37.338025°;–108.595786°
CO;08085;Montrose;41,276;5,803.373;4.923;5,808.296;+38.413427°;–108.263042°
CO;08087;Morgan;28,159;3,316.305;34.474;3,350.779;+40.262354°;–103.807092°
CO;08089;Otero;18,831;3,268.465;20.052;3,288.518;+37.884170°;–103.721260°
CO;08091;Ouray;4,436;1,402.719;1.600;1,404.318;+38.150600°;–107.767133°
CO;08093;Park;16,206;5,682.034;43.531;5,725.565;+39.118914°;–105.717648°
CO;08095;Phillips;4,442;1,781.725;0.302;1,782.027;+40.594712°;–102.345105°
CO;08097;Pitkin;17,148;2,514.094;6.469;2,520.564;+39.217533°;–106.915943°
CO;08099;Prowers;12,551;4,243.422;15.353;4,258.775;+37.958181°;–102.392161°
CO;08101;Pueblo;159,063;6,179.981;30.280;6,210.261;+38.170658°;–104.489893°
CO;08103;Rio Blanco;6,666;8,342.179;4.868;8,347.047;+39.972606°;–108.200685°
CO;08105;Rio Grande;11,982;2,361.960;0.984;2,362.944;+37.485763°;–106.453214°
CO;08107;Routt;23,509;6,117.619;15.826;6,133.445;+40.483160°;–106.985289°
CO;08109;Saguache;6,108;8,206.441;4.455;8,210.895;+38.033952°;–106.246675°
CO;08111;San Juan;699;1,003.588;2.036;1,005.624;+37.781075°;–107.670257°
CO;08113;San Miguel;7,359;3,332.308;5.214;3,337.522;+38.009374°;–108.427326°
CO;08115;Sedgwick;2,379;1,419.419;3.531;1,422.950;+40.871568°;–102.355358°
CO;08117;Summit;27,994;1,575.639;28.283;1,603.922;+39.621023°;–106.137555°
CO;08119;Teller;23,350;1,442.767;4.945;1,447.712;+38.871994°;–105.182552°
