NAME,POPESTIMATE2019,State,Latitude,Longitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20
Georgia,10617423,GA,32.6781248,-83.22297569999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,5.0,5.0,10.0,17.0,23.0,31.0,42.0,73.0,99.0,121.0,146.0,197.0,287.0,485.0,555.0,621.0,772.0,1026.0,1247.0,1525.0,2000.0,2366.0,2651.0,2808.0,3929.0,4638.0,5348.0,5831.0,6160.0,6647.0,7314.0,8822.0,9901.0,10566.0,11485.0,12159.0,12452.0,13315.0,14578.0,14987.0,15669.0,17194.0,17669.0,18301.0,19407.0,19881.0,21214.0
Hawaii,1415872,HI,20.46,-157.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,6.0,8.0,10.0,15.0,25.0,36.0,36.0,53.0,56.0,90.0,91.0,95.0,106.0,149.0,149.0,175.0,204.0,224.0,256.0,319.0,351.0,371.0,387.0,410.0,410.0,442.0,442.0,465.0,499.0,504.0,511.0,524.0,530.0,541.0,574.0,580.0,584.0,586.0,592.0
Idaho,1787065,ID,45.4945756,-114.1424303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,8.0,9.0,23.0,36.0,42.0,42.0,68.0,81.0,91.0,146.0,205.0,234.0,281.0,340.0,515.0,566.0,776.0,891.0,1022.0,1078.0,1101.0,1170.0,1210.0,1232.0,1354.0,1396.0,1407.0,1426.0,1464.0,1473.0,1587.0,1609.0,1655.0,1668.0,1672.0,1736.0,1766.0
Illinois,12671821,IL,39.739318,-89.504139,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,12.0,25.0,32.0,46.0,64.0,66.0,83.0,161.0,272.0,422.0,585.0,753.0,1049.0,1285.0,1537.0,1865.0,2538.0,3024.0,3491.0,4596.0,5056.0,5994.0,6980.0,7695.0,8904.0,10357.0,11259.0,12262.0,13553.0,15078.0,16422.0,17887.0,19180.0,20852.0,22025.0,23248.0,24593.0,25734.0,27578.0,29160.0,30357.0,31513.0,33059.0,35107.0
Indiana,6732219,IN,39.7662195,-86.441277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,6.0,11.0,13.0,13.0,16.0,20.0,25.0,30.0,38.0,60.0,86.0,128.0,204.0,270.0,368.0,477.0,645.0,979.0,1233.0,1513.0,1786.0,2158.0,2564.0,3038.0,3437.0,3953.0,4411.0,4956.0,5510.0,5943.0,6351.0,6907.0,7435.0,7928.0,8359.0,8527.0,8960.0,9542.0,10154.0,10641.0,11211.0,11688.0,12097.0,12438.0
Iowa,3155070,IA,41.9383166,-93.389798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,13.0,14.0,17.0,17.0,18.0,23.0,23.0,38.0,44.0,45.0,69.0,90.0,105.0,124.0,146.0,179.0,235.0,298.0,336.0,424.0,497.0,547.0,614.0,699.0,787.0,869.0,946.0,1046.0,1145.0,1270.0,1388.0,1510.0,1587.0,1710.0,1899.0,1995.0,2141.0,2332.0,2513.0,2902.0,3159.0,3641.0,3748.0
Kansas,2913314,KS,38.4987789,-98.32007790000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,8.0,8.0,11.0,18.0,22.0,35.0,48.0,57.0,65.0,84.0,100.0,134.0,172.0,206.0,266.0,330.0,372.0,434.0,485.0,553.0,629.0,698.0,751.0,849.0,912.0,1046.0,1116.0,1117.0,1275.0,1344.0,1390.0,1441.0,1504.0,1615.0,1730.0,1821.0,1905.0,2048.0,2164.0,2331.0
Kentucky,4467673,KY,37.8222935,-85.76823990000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,5.0,8.0,10.0,14.0,16.0,18.0,21.0,26.0,28.0,50.0,64.0,87.0,103.0,123.0,162.0,197.0,247.0,301.0,380.0,438.0,479.0,628.0,632.0,770.0,770.0,917.0,955.0,955.0,1149.0,1149.0,1341.0,1693.0,1693.0,1963.0,2018.0,2048.0,2210.0,2435.0,2522.0,2707.0,2960.0,3050.0,3204.0,3378.0
Louisiana,4648794,LA,30.9733766,-91.42990970000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,29.0,77.0,87.0,115.0,196.0,257.0,392.0,537.0,763.0,837.0,1172.0,1388.0,1795.0,2304.0,2744.0,3315.0,3540.0,4025.0,5237.0,6424.0,9149.0,10297.0,12496.0,13010.0,14867.0,16284.0,17030.0,18283.0,19253.0,20014.0,20595.0,21016.0,21518.0,21951.0,22532.0,23118.0,23580.0,23928.0,24523.0,24854.0,25258.0
Maine,1344212,ME,45.2185133,-69.0148656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,17.0,26.0,35.0,52.0,56.0,70.0,89.0,107.0,118.0,142.0,155.0,168.0,211.0,253.0,275.0,303.0,303.0,376.0,432.0,456.0,470.0,499.0,519.0,537.0,560.0,586.0,616.0,633.0,698.0,735.0,770.0,796.0,827.0,847.0,867.0,875.0,888.0,907.0
